symbol,bank_name,bank_type,period,year,quarter,total_assets,total_liabilities,equity,customer_loans,loan_group_1_2,npl_group_3_4_5,loan_loss_provision,customer_deposits,casa_deposits,net_interest_income,earning_assets_avg,net_profit,market_price,eps,book_value,bs_calculated_assets,bs_diff_amount,bs_diff_pct,bs_reconciled,loan_calculated_total,loan_diff_amount,loan_diff_pct,loan_reconciled,audit_status,nim,npl_ratio,llr_ratio,casa_ratio,roe,roa,pe_ratio,pb_ratio,equity_multiplier
VCB,Vietcombank,Big 4,2023-Q1,2023,Q1,1846000,1708000,138000,1175000,1165012,9988,32000,1280000,435200,13950,1710000,8980,88500,7250,29800,1846000,0,0.0,True,1175000,0,0.0,True,PASSED_100%,3.26,0.85,320.4,34.0,26.03,1.95,12.21,2.97,13.38
VCB,Vietcombank,Big 4,2023-Q2,2023,Q2,1872000,1729000,143000,1198000,1187817,10183,33100,1315000,444470,14200,1735000,7450,99000,7400,30800,1872000,0,0.0,True,1198000,0,0.0,True,PASSED_100%,3.27,0.85,325.1,33.8,20.84,1.59,13.38,3.21,13.09
VCB,Vietcombank,Big 4,2023-Q3,2023,Q3,1904000,1756000,148000,1215000,1202235,12765,34500,1342000,449570,13850,1762000,7260,86800,7510,31900,1904000,0,0.0,True,1215000,0,0.0,True,PASSED_100%,3.14,1.05,270.3,33.5,19.62,1.53,11.56,2.72,12.86
VCB,Vietcombank,Big 4,2023-Q4,2023,Q4,1839000,1674000,165000,1270000,1257427,12573,34000,1395000,472905,14600,1790000,9320,80300,7720,35500,1839000,0,0.0,True,1270000,0,0.0,True,PASSED_100%,3.26,0.99,270.4,33.9,22.59,2.03,10.4,2.26,11.15
VCB,Vietcombank,Big 4,2024-Q1,2024,Q1,1870000,1698000,172000,1265000,1250107,14893,34200,1380000,462300,14100,1785000,8580,95000,7650,37000,1870000,0,0.0,True,1265000,0,0.0,True,PASSED_100%,3.16,1.18,229.6,33.5,19.95,1.84,12.42,2.57,10.87
VCB,Vietcombank,Big 4,2024-Q2,2024,Q2,1905000,1726000,179000,1362000,1345656,16344,35100,1410000,475170,14350,1820000,8080,87000,7780,38500,1905000,0,0.0,True,1362000,0,0.0,True,PASSED_100%,3.15,1.2,214.8,33.7,18.06,1.7,11.18,2.26,10.64
VCB,Vietcombank,Big 4,2024-Q3,2024,Q3,1932000,1746000,186000,1400000,1382920,17080,36500,1435000,482195,14700,1850000,8550,91500,8040,40100,1932000,0,0.0,True,1400000,0,0.0,True,PASSED_100%,3.18,1.22,213.7,33.6,18.39,1.77,11.38,2.28,10.39
VCB,Vietcombank,Big 4,2024-Q4,2024,Q4,2045000,1850000,195000,1445000,1429828,15172,37930,1485000,519750,15600,1920000,9890,92800,8420,42000,2045000,0,0.0,True,1445000,0,0.0,True,PASSED_100%,3.25,1.05,250.0,35.0,20.29,1.93,11.02,2.21,10.49
BID,BIDV,Big 4,2023-Q1,2023,Q1,2100000,1995000,105000,1560000,1535040,24960,41500,1540000,308000,13800,1960000,5530,44500,4150,20800,2100000,0,0.0,True,1560000,0,0.0,True,PASSED_100%,2.82,1.6,166.3,20.0,21.07,1.05,10.72,2.14,20.0
BID,BIDV,Big 4,2023-Q2,2023,Q2,2125000,2016000,109000,1620000,1594080,25920,43800,1580000,319160,14100,1995000,5570,45000,4250,21600,2125000,0,0.0,True,1620000,0,0.0,True,PASSED_100%,2.83,1.6,169.0,20.2,20.44,1.05,10.59,2.08,19.5
BID,BIDV,Big 4,2023-Q3,2023,Q3,2160000,2047000,113000,1680000,1653120,26880,45200,1610000,325220,14500,2025000,4680,41200,4300,22400,2160000,0,0.0,True,1680000,0,0.0,True,PASSED_100%,2.86,1.6,168.2,20.2,16.57,0.87,9.58,1.84,19.12
BID,BIDV,Big 4,2023-Q4,2023,Q4,2300000,2178000,122000,1780000,1757734,22266,43500,1710000,367650,15200,2140000,6320,43400,4650,24200,2300000,0,0.0,True,1780000,0,0.0,True,PASSED_100%,2.84,1.25,195.4,21.5,20.72,1.1,9.33,1.79,18.85
BID,BIDV,Big 4,2024-Q1,2024,Q1,2315000,2188000,127000,1805000,1777920,27080,46200,1720000,352600,14800,2160000,5910,52800,4810,25200,2315000,0,0.0,True,1805000,0,0.0,True,PASSED_100%,2.74,1.5,170.6,20.5,18.61,1.02,10.98,2.1,18.23
BID,BIDV,Big 4,2024-Q2,2024,Q2,2380000,2248000,132000,1880000,1851424,28576,47900,1760000,366080,15400,2210000,6520,46500,5050,26200,2380000,0,0.0,True,1880000,0,0.0,True,PASSED_100%,2.79,1.52,167.6,20.8,19.76,1.1,9.21,1.77,18.03
BID,BIDV,Big 4,2024-Q3,2024,Q3,2420000,2282000,138000,1940000,1908960,31040,49800,1800000,381600,15800,2260000,5180,48900,5120,27400,2420000,0,0.0,True,1940000,0,0.0,True,PASSED_100%,2.8,1.6,160.4,21.2,15.01,0.86,9.55,1.78,17.54
BID,BIDV,Big 4,2024-Q4,2024,Q4,2520000,2374000,146000,2010000,1980855,29145,52500,1890000,415800,16900,2350000,7240,50200,5580,29000,2520000,0,0.0,True,2010000,0,0.0,True,PASSED_100%,2.88,1.45,180.1,22.0,19.84,1.15,9.0,1.73,17.26
TCB,Techcombank,Private,2023-Q1,2023,Q1,723000,608000,115000,465000,460955,4045,5400,387000,123840,6520,645000,4530,28500,5300,32800,723000,0,0.0,True,465000,0,0.0,True,PASSED_100%,4.04,0.87,133.5,32.0,15.76,2.51,5.38,0.87,6.29
TCB,Techcombank,Private,2023-Q2,2023,Q2,732000,612000,120000,466000,461014,4986,5750,382000,133318,6280,655000,4500,32000,5150,34200,732000,0,0.0,True,466000,0,0.0,True,PASSED_100%,3.84,1.07,115.3,34.9,15.0,2.46,6.21,0.94,6.1
TCB,Techcombank,Private,2023-Q3,2023,Q3,781000,656000,125000,495000,488070,6930,6450,409000,137424,7250,695000,4670,31500,5080,35600,781000,0,0.0,True,495000,0,0.0,True,PASSED_100%,4.17,1.4,93.1,33.6,14.94,2.39,6.2,0.88,6.25
TCB,Techcombank,Private,2023-Q4,2023,Q4,849000,717000,132000,530000,523693,6307,6440,454000,181146,7650,750000,4480,31800,5120,37600,849000,0,0.0,True,530000,0,0.0,True,PASSED_100%,4.08,1.19,102.1,39.9,13.58,2.11,6.21,0.85,6.43
