Symbol,Period,Total_Assets,Liabilities_Plus_Equity,BS_Variance,BS_Audit_Result,Customer_Loans,Sum_Loan_Buckets,Loan_Variance,Loan_Audit_Result,Overall_Integrity
VCB,2023-Q1,1846000,1846000,0,MATCHED,1175000,1175000,0,MATCHED,PASS
VCB,2023-Q2,1872000,1872000,0,MATCHED,1198000,1198000,0,MATCHED,PASS
VCB,2023-Q3,1904000,1904000,0,MATCHED,1215000,1215000,0,MATCHED,PASS
VCB,2023-Q4,1839000,1839000,0,MATCHED,1270000,1270000,0,MATCHED,PASS
VCB,2024-Q1,1870000,1870000,0,MATCHED,1265000,1265000,0,MATCHED,PASS
VCB,2024-Q2,1905000,1905000,0,MATCHED,1362000,1362000,0,MATCHED,PASS
VCB,2024-Q3,1932000,1932000,0,MATCHED,1400000,1400000,0,MATCHED,PASS
VCB,2024-Q4,2045000,2045000,0,MATCHED,1445000,1445000,0,MATCHED,PASS
BID,2023-Q1,2100000,2100000,0,MATCHED,1560000,1560000,0,MATCHED,PASS
BID,2023-Q2,2125000,2125000,0,MATCHED,1620000,1620000,0,MATCHED,PASS
BID,2023-Q3,2160000,2160000,0,MATCHED,1680000,1680000,0,MATCHED,PASS
BID,2023-Q4,2300000,2300000,0,MATCHED,1780000,1780000,0,MATCHED,PASS
BID,2024-Q1,2315000,2315000,0,MATCHED,1805000,1805000,0,MATCHED,PASS
BID,2024-Q2,2380000,2380000,0,MATCHED,1880000,1880000,0,MATCHED,PASS
BID,2024-Q3,2420000,2420000,0,MATCHED,1940000,1940000,0,MATCHED,PASS
BID,2024-Q4,2520000,2520000,0,MATCHED,2010000,2010000,0,MATCHED,PASS
TCB,2023-Q1,723000,723000,0,MATCHED,465000,465000,0,MATCHED,PASS
TCB,2023-Q2,732000,732000,0,MATCHED,466000,466000,0,MATCHED,PASS
TCB,2023-Q3,781000,781000,0,MATCHED,495000,495000,0,MATCHED,PASS
TCB,2023-Q4,849000,849000,0,MATCHED,530000,530000,0,MATCHED,PASS
TCB,2024-Q1,860000,860000,0,MATCHED,564000,564000,0,MATCHED,PASS
TCB,2024-Q2,908000,908000,0,MATCHED,592000,592000,0,MATCHED,PASS
TCB,2024-Q3,927000,927000,0,MATCHED,611000,611000,0,MATCHED,PASS
TCB,2024-Q4,978000,978000,0,MATCHED,648000,648000,0,MATCHED,PASS
MBB,2023-Q1,760000,760000,0,MATCHED,480000,480000,0,MATCHED,PASS
MBB,2023-Q2,806000,806000,0,MATCHED,518000,518000,0,MATCHED,PASS
MBB,2023-Q3,816000,816000,0,MATCHED,535000,535000,0,MATCHED,PASS
MBB,2023-Q4,945000,945000,0,MATCHED,611000,611000,0,MATCHED,PASS
MBB,2024-Q1,900000,900000,0,MATCHED,615000,615000,0,MATCHED,PASS
MBB,2024-Q2,988000,988000,0,MATCHED,673000,673000,0,MATCHED,PASS
MBB,2024-Q3,1028000,1028000,0,MATCHED,702000,702000,0,MATCHED,PASS
MBB,2024-Q4,1120000,1120000,0,MATCHED,776000,776000,0,MATCHED,PASS
