date,open,high,low,close,volume,trading_value_billion,market_pe,daily_change_pts,daily_change_pct,volume_ma20,value_ma20
2023-01-03,1075.54,1082.27,1073.52,1077.98,681166930,15223.1,12.49,,,681166930.0,15223.1
2023-01-04,1070.87,1084.92,1063.21,1076.0,845171760,21362.57,12.63,-1.98,-0.18,763169345.0,18292.84
2023-01-05,1085.8,1088.71,1076.69,1082.54,793015128,21538.98,12.54,6.54,0.61,773117939.0,19374.88
2023-01-06,1088.82,1092.65,1084.23,1089.62,760378609,20054.2,12.77,7.08,0.65,769933107.0,19544.71
2023-01-09,1082.19,1084.36,1077.4,1080.88,799769713,19173.33,12.91,-8.74,-0.8,775900428.0,19470.44
2023-01-10,1080.38,1091.42,1070.85,1082.69,729066184,17247.94,12.3,1.81,0.17,768094721.0,19100.02
2023-01-11,1099.95,1103.97,1088.54,1095.36,856086312,23102.0,12.52,12.67,1.17,780664948.0,19671.73
2023-01-12,1091.05,1097.72,1081.96,1092.28,726259824,19149.39,12.74,-3.08,-0.28,773864308.0,19606.44
2023-01-13,1088.66,1094.51,1076.62,1086.63,765954606,17897.82,12.57,-5.65,-0.52,772985452.0,19416.59
2023-01-16,1094.99,1099.96,1085.44,1094.47,781301902,20717.72,12.96,7.84,0.72,773817097.0,19546.7
2023-01-17,1090.82,1095.31,1087.31,1090.19,779895478,18141.06,12.82,-4.28,-0.39,774369677.0,19418.92
2023-01-18,1094.4,1101.75,1082.58,1091.91,691123687,16518.77,12.83,1.72,0.16,767432511.0,19177.24
2023-01-19,1097.81,1103.86,1093.04,1097.88,880232920,20107.54,12.89,5.97,0.55,776109466.0,19248.8
2023-01-20,1081.86,1094.14,1078.58,1086.66,976552762,26438.94,12.79,-11.22,-1.02,790426844.0,19762.38
2023-01-23,1089.09,1095.58,1080.7,1089.49,967437306,26255.3,12.67,2.83,0.26,802227541.0,20195.24
2023-01-24,1104.21,1107.64,1091.22,1098.15,1048980395,25379.57,12.98,8.66,0.79,817649595.0,20519.26
2023-01-25,1094.18,1100.29,1092.62,1097.11,770712960,19233.66,12.63,-1.04,-0.09,814888616.0,20443.64
2023-01-26,1109.19,1115.39,1098.05,1106.72,737143342,18051.47,13.01,9.61,0.88,810569434.0,20310.74
2023-01-27,1100.12,1104.21,1096.76,1101.01,844453732,21274.52,13.05,-5.71,-0.52,812352818.0,20361.47
2023-01-30,1095.03,1104.46,1090.85,1099.6,804438135,22108.22,12.9,-1.41,-0.13,811957084.0,20448.8
2023-01-31,1121.62,1125.79,1113.89,1118.45,889520741,20573.07,13.23,18.85,1.71,822374775.0,20716.3
2023-02-01,1109.4,1112.85,1105.37,1109.88,989930118,24178.25,12.7,-8.57,-0.77,829612693.0,20857.09
2023-02-02,1112.07,1119.59,1108.7,1113.19,771269032,19699.75,13.04,3.31,0.3,828525388.0,20765.13
2023-02-03,1106.55,1109.68,1101.22,1105.76,881609973,20471.73,13.03,-7.43,-0.67,834586956.0,20786.0
2023-02-06,1111.73,1118.1,1109.46,1112.55,851509596,21790.22,13.22,6.79,0.61,837173950.0,20916.85
2023-02-07,1118.69,1121.4,1114.0,1117.97,916807531,22172.54,13.28,5.42,0.49,846561018.0,21163.08
2023-02-08,1114.67,1118.07,1105.11,1111.86,928525696,22579.73,12.95,-6.11,-0.55,850182987.0,21136.96
2023-02-09,1121.26,1134.43,1113.99,1122.45,1011926702,23754.32,13.06,10.59,0.95,864466331.0,21367.21
2023-02-10,1117.01,1125.19,1109.99,1118.01,927603050,24303.04,13.23,-4.44,-0.4,872548753.0,21687.47
2023-02-13,1124.16,1126.71,1117.04,1121.25,887742154,19640.04,13.5,3.24,0.29,877870766.0,21633.59
2023-02-14,1118.97,1126.09,1115.05,1120.75,931963432,25549.04,13.26,-0.5,-0.04,885474163.0,22003.99
2023-02-15,1133.35,1142.04,1131.02,1136.8,791434618,19823.84,13.65,16.05,1.43,890489710.0,22169.24
2023-02-16,1124.11,1136.83,1120.8,1126.92,945601422,23926.4,13.54,-9.88,-0.87,893758135.0,22360.18
2023-02-17,1118.85,1127.94,1111.37,1121.93,958930588,21344.18,12.95,-4.99,-0.44,892877026.0,22105.44
2023-02-20,1136.09,1139.71,1131.45,1134.46,882244448,20810.22,13.32,12.53,1.12,888617383.0,21833.19
2023-02-21,1124.82,1130.19,1118.53,1123.42,1100394168,29878.52,13.29,-11.04,-0.97,891188072.0,22058.14
2023-02-22,1132.07,1139.82,1127.76,1133.19,890356791,22018.54,13.52,9.77,0.87,897170263.0,22197.38
2023-02-23,1116.4,1127.91,1112.27,1121.35,953107171,23565.77,13.25,-11.84,-1.04,907968455.0,22473.1
2023-02-24,1129.61,1134.03,1119.69,1126.27,991414208,23295.06,13.53,4.92,0.44,915316479.0,22574.12
2023-02-27,1140.25,1143.19,1131.4,1136.52,837163805,20912.73,13.53,10.25,0.91,916952762.0,22514.35
2023-02-28,1142.75,1152.03,1129.11,1140.84,1011101352,23632.65,13.71,4.32,0.38,923031793.0,22667.33
2023-03-01,1140.37,1143.78,1129.2,1138.48,1011326336,22438.0,13.62,-2.36,-0.21,924101604.0,22580.32
2023-03-02,1140.82,1144.71,1126.83,1137.76,943925533,25241.73,13.69,-0.72,-0.06,932734429.0,22857.42
2023-03-03,1130.35,1145.63,1125.99,1137.63,835700572,18939.58,13.66,-0.13,-0.01,930438959.0,22780.81
2023-03-06,1133.06,1135.87,1128.17,1131.5,933966949,23318.54,13.41,-6.13,-0.54,934561826.0,22857.22
2023-03-07,1139.95,1144.63,1127.2,1136.97,841541911,18626.86,13.66,5.47,0.48,930798545.0,22679.94
