symbol,bank_name,bank_type,period,year,quarter,total_assets,total_liabilities,equity,customer_loans,loan_group_1_2,npl_group_3_4_5,loan_loss_provision,customer_deposits,casa_deposits,net_interest_income,earning_assets_avg,net_profit,market_price,eps,book_value
VCB,Vietcombank,Big 4,2023-Q1,2023,Q1,1846000,1708000,138000,1175000,1165012,9988,32000,1280000,435200,13950,1710000,8980,88500,7250,29800
VCB,Vietcombank,Big 4,2023-Q2,2023,Q2,1872000,1729000,143000,1198000,1187817,10183,33100,1315000,444470,14200,1735000,7450,99000,7400,30800
VCB,Vietcombank,Big 4,2023-Q3,2023,Q3,1904000,1756000,148000,1215000,1202235,12765,34500,1342000,449570,13850,1762000,7260,86800,7510,31900
VCB,Vietcombank,Big 4,2023-Q4,2023,Q4,1839000,1674000,165000,1270000,1257427,12573,34000,1395000,472905,14600,1790000,9320,80300,7720,35500
VCB,Vietcombank,Big 4,2024-Q1,2024,Q1,1870000,1698000,172000,1265000,1250107,14893,34200,1380000,462300,14100,1785000,8580,95000,7650,37000
VCB,Vietcombank,Big 4,2024-Q2,2024,Q2,1905000,1726000,179000,1362000,1345656,16344,35100,1410000,475170,14350,1820000,8080,87000,7780,38500
VCB,Vietcombank,Big 4,2024-Q3,2024,Q3,1932000,1746000,186000,1400000,1382920,17080,36500,1435000,482195,14700,1850000,8550,91500,8040,40100
VCB,Vietcombank,Big 4,2024-Q4,2024,Q4,2045000,1850000,195000,1445000,1429828,15172,37930,1485000,519750,15600,1920000,9890,92800,8420,42000
BID,BIDV,Big 4,2023-Q1,2023,Q1,2100000,1995000,105000,1560000,1535040,24960,41500,1540000,308000,13800,1960000,5530,44500,4150,20800
BID,BIDV,Big 4,2023-Q2,2023,Q2,2125000,2016000,109000,1620000,1594080,25920,43800,1580000,319160,14100,1995000,5570,45000,4250,21600
BID,BIDV,Big 4,2023-Q3,2023,Q3,2160000,2047000,113000,1680000,1653120,26880,45200,1610000,325220,14500,2025000,4680,41200,4300,22400
BID,BIDV,Big 4,2023-Q4,2023,Q4,2300000,2178000,122000,1780000,1757734,22266,43500,1710000,367650,15200,2140000,6320,43400,4650,24200
BID,BIDV,Big 4,2024-Q1,2024,Q1,2315000,2188000,127000,1805000,1777920,27080,46200,1720000,352600,14800,2160000,5910,52800,4810,25200
BID,BIDV,Big 4,2024-Q2,2024,Q2,2380000,2248000,132000,1880000,1851424,28576,47900,1760000,366080,15400,2210000,6520,46500,5050,26200
BID,BIDV,Big 4,2024-Q3,2024,Q3,2420000,2282000,138000,1940000,1908960,31040,49800,1800000,381600,15800,2260000,5180,48900,5120,27400
BID,BIDV,Big 4,2024-Q4,2024,Q4,2520000,2374000,146000,2010000,1980855,29145,52500,1890000,415800,16900,2350000,7240,50200,5580,29000
TCB,Techcombank,Private,2023-Q1,2023,Q1,723000,608000,115000,465000,460955,4045,5400,387000,123840,6520,645000,4530,28500,5300,32800
TCB,Techcombank,Private,2023-Q2,2023,Q2,732000,612000,120000,466000,461014,4986,5750,382000,133318,6280,655000,4500,32000,5150,34200
TCB,Techcombank,Private,2023-Q3,2023,Q3,781000,656000,125000,495000,488070,6930,6450,409000,137424,7250,695000,4670,31500,5080,35600
TCB,Techcombank,Private,2023-Q4,2023,Q4,849000,717000,132000,530000,523693,6307,6440,454000,181146,7650,750000,4480,31800,5120,37600
TCB,Techcombank,Private,2024-Q1,2024,Q1,860000,722000,138000,564000,557620,6380,6800,458000,185490,8500,775000,6270,46500,5600,39300
TCB,Techcombank,Private,2024-Q2,2024,Q2,908000,763000,145000,592000,584426,7574,7650,483000,194166,8700,815000,6310,23500,3150,20600
TCB,Techcombank,Private,2024-Q3,2024,Q3,927000,776000,151000,611000,602784,8216,8520,495000,200475,8950,835000,5830,24200,3320,21500
TCB,Techcombank,Private,2024-Q4,2024,Q4,978000,819000,159000,648000,639832,8168,8900,530000,222600,9450,880000,6680,25100,3580,22600
MBB,MBBank,Private,2023-Q1,2023,Q1,760000,679000,81000,480000,471552,8448,11600,452000,160460,10200,690000,5100,18200,4120,17800
MBB,MBBank,Private,2023-Q2,2023,Q2,806000,720000,86000,518000,510528,7472,11700,475000,176225,9500,730000,4820,20500,4200,18900
MBB,MBBank,Private,2023-Q3,2023,Q3,816000,726000,90000,535000,524942,10058,12300,480000,172800,9800,745000,5650,18800,4350,19800
MBB,MBBank,Private,2023-Q4,2023,Q4,945000,846000,99000,611000,601224,9776,11450,567000,226800,9180,840000,4980,18600,4480,21800
MBB,MBBank,Private,2024-Q1,2024,Q1,900000,796000,104000,615000,599688,15312,12300,558000,206460,9750,820000,4560,24000,4510,22900
MBB,MBBank,Private,2024-Q2,2024,Q2,988000,878000,110000,673000,658409,14591,14800,618000,239784,10150,890000,5890,22500,4680,24200
MBB,MBBank,Private,2024-Q3,2024,Q3,1028000,912000,116000,702000,686345,15655,16000,628000,243664,10600,930000,5670,25200,4790,25500
MBB,MBBank,Private,2024-Q4,2024,Q4,1120000,996000,124000,776000,763584,12416,16200,685000,274000,11500,1010000,6730,24800,5080,27200
